t_ms,target,cps,band_lo,band_hi
21600,300.0,302.5,,
21700,300.0,302.05,,
21800,300.0,305.0,,
21900,300.0,297.05,,
22000,300.0,300.0,,
22100,300.0,302.5,,
22200,300.0,294.77,,
22300,300.0,300.0,,
22400,300.0,304.55,,
22500,300.0,295.0,,
22600,300.0,300.0,,
22700,300.0,299.77,,
22800,300.0,305.0,,
22900,300.0,297.27,,
23000,300.0,295.0,,
23100,300.0,305.0,,
23200,300.0,305.0,,
23300,300.0,297.27,,
23400,300.0,296.67,,
23500,600.0,304.55,0.0,0.0
23600,600.0,329.09,0.0,0.0
23700,600.0,372.5,0.0,0.0
23800,600.0,413.64,0.0,0.0
23900,600.0,435.0,0.0,0.0
24000,600.0,467.5,0.0,0.0
24100,600.0,495.0,0.0,0.0
24200,600.0,505.45,0.0,0.0
24300,600.0,525.23,0.0,0.0
24400,600.0,532.5,0.0,0.0
24500,600.0,540.0,0.0,0.0
24600,600.0,557.5,0.0,0.0
24700,600.0,569.77,0.0,0.0
24800,600.0,564.77,0.0,0.0
24900,600.0,580.0,0.0,0.0
25000,600.0,584.04,0.0,0.0
25100,600.0,574.32,0.0,0.0
25200,600.0,587.5,0.0,0.0
25300,600.0,592.5,0.0,0.0
25400,600.0,590.0,0.0,0.0
25500,600.0,592.5,0.0,0.0
25600,600.0,594.55,0.0,0.0
25700,600.0,589.55,0.0,0.0
25800,600.0,595.0,0.0,0.0
25900,600.0,595.0,0.0,0.0
26000,600.0,587.5,0.0,0.0
26100,600.0,599.32,0.0,0.0
26200,600.0,599.32,0.0,0.0
26300,600.0,605.0,0.0,0.0
26400,600.0,602.5,0.0,0.0
26500,600.0,600.0,0.0,0.0
26600,600.0,606.82,0.0,0.0
26700,600.0,597.5,0.0,0.0
26800,600.0,602.05,0.0,0.0
26900,600.0,592.12,0.0,0.0
27000,600.0,602.5,0.0,0.0
27100,600.0,596.82,0.0,0.0
27200,600.0,605.0,0.0,0.0
27300,600.0,605.0,0.0,0.0
27400,600.0,592.5,0.0,0.0
27500,600.0,601.82,0.0,0.0
27600,600.0,605.0,0.0,0.0
27700,600.0,594.32,0.0,0.0
27800,600.0,600.0,0.0,0.0
27900,600.0,605.0,0.0,0.0
28000,600.0,591.82,0.0,0.0
28100,600.0,600.0,0.0,0.0
28200,600.0,604.32,0.0,0.0
28300,600.0,600.0,0.0,0.0
28400,600.0,605.0,0.0,0.0
28500,600.0,599.55,0.0,0.0
28600,600.0,587.5,0.0,0.0
28700,600.0,599.55,0.0,0.0
28800,600.0,603.46,0.0,0.0
28900,600.0,600.0,0.0,0.0
29000,600.0,605.0,0.0,0.0
29100,600.0,607.27,0.0,0.0
29200,600.0,592.5,0.0,0.0
29300,600.0,602.5,0.0,0.0
29400,600.0,604.55,0.0,0.0
29500,600.0,592.5,0.0,0.0
29600,600.0,601.82,0.0,0.0
29700,600.0,600.0,0.0,0.0
29800,600.0,605.0,0.0,0.0
29900,600.0,601.82,0.0,0.0
30000,600.0,587.5,0.0,0.0
30100,600.0,601.82,0.0,0.0
30200,600.0,605.0,0.0,0.0
30300,600.0,600.0,0.0,0.0
30400,600.0,606.82,0.0,0.0
30500,600.0,597.5,0.0,0.0
30600,600.0,591.82,0.0,0.0
30700,600.0,600.0,0.0,0.0
30800,600.0,607.5,0.0,0.0
30900,600.0,590.96,0.0,0.0
31000,600.0,602.05,0.0,0.0
31100,600.0,605.0,0.0,0.0
31200,600.0,592.5,0.0,0.0
31300,600.0,601.82,0.0,0.0
31400,600.0,607.5,0.0,0.0
31500,600.0,591.82,0.0,0.0
31600,600.0,602.5,0.0,0.0
31700,600.0,605.0,0.0,0.0
31800,600.0,594.55,0.0,0.0
31900,600.0,600.0,0.0,0.0
32000,600.0,607.05,0.0,0.0
32100,600.0,592.5,0.0,0.0
32200,600.0,602.5,0.0,0.0
32300,600.0,599.32,0.0,0.0
32400,600.0,607.5,0.0,0.0
32500,600.0,597.05,0.0,0.0
32600,600.0,595.0,0.0,0.0
32700,600.0,595.19,0.0,0.0
32800,600.0,607.5,0.0,0.0
32900,600.0,604.55,0.0,0.0
33000,600.0,592.5,0.0,0.0
33100,600.0,602.5,0.0,0.0
33200,600.0,599.55,0.0,0.0
33300,600.0,607.5,0.0,0.0
33400,600.0,599.55,0.0,0.0
33500,600.0,587.5,0.0,0.0
33600,600.0,602.5,0.0,0.0
33700,600.0,602.5,0.0,0.0
33800,600.0,601.82,0.0,0.0
33900,600.0,599.55,0.0,0.0
34000,600.0,602.5,0.0,0.0
34100,600.0,592.5,0.0,0.0
34200,600.0,602.5,0.0,0.0
34300,600.0,604.32,0.0,0.0
34400,600.0,592.05,0.0,0.0
34500,600.0,600.0,0.0,0.0
34600,600.0,605.0,0.0,0.0
34700,600.0,600.0,0.0,0.0
34800,600.0,604.32,0.0,0.0
34900,600.0,599.58,0.0,0.0
35000,600.0,589.32,0.0,0.0
35100,600.0,600.0,0.0,0.0
35200,600.0,604.55,0.0,0.0
35300,600.0,599.32,0.0,0.0
35400,600.0,607.5,0.0,0.0
35500,600.0,597.5,0.0,0.0
35600,600.0,590.0,0.0,0.0
35700,600.0,601.82,0.0,0.0
35800,600.0,599.32,0.0,0.0
35900,600.0,605.0,0.0,0.0
36000,600.0,605.0,0.0,0.0
36100,600.0,595.0,0.0,0.0
36200,600.0,601.82,0.0,0.0
36300,600.0,605.0,0.0,0.0
36400,600.0,594.32,0.0,0.0
36500,600.0,602.5,0.0,0.0
